,Comment,Class,preprocessing_result
26,the best!,0,best
27,SUBSCRIBE ME AND I REQUITE,1,subscribe requite
28,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check statement conciliate acidic stretch earth recognizes money numberless number transport trade
29,Shakira is perfect,0,shakira perfect
30,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1,hello everyone know probably pas kind comment still reading thanks ’ money advertisement chance getting heard nothing live small town come spam sorry ’ instrumental songwriter columbus mississippi please go channel check original music would highly appreciated thumb comment music heard thank adam whitney
31,wow,0,wow
32,Wanna Laugh??? Please SUBSCRIBE to our channel!!!,1,wan na laugh please subscribe channel
33,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1,hahahahah ♥♥♥♥ like vine subscribe daily vine
34,please visit our web: wellcomemd.blogfa.com,1,please visit web wellcomemdblogfacom
35,Hi. Check out and share our songs.,1,hi check share song
36,"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",1,really love watching football also ’ started making income financial risk acquiring bonus deal ’ weird technique wager something one bookmaker bet betfair secure bonus income chap named jim vanstone finding wager free website vanstone secret google ’ made quid thus far costfree guess bookie pay obtain new consumer yet actually work
37,subscribe  my,1,subscribe
38,Check out my channel :),1,check channel
39,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth. ",1,believe jesus christ savior sin truly believe jesus christ savior sin go heaven believe jesus christ saved salvation gained god ’ righteousness matter much sinned past present especially future believe jesus christ savior go heaven forever whole truth spread truth
40,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1,check new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtapecheck new mixtape check new mixtape check new mixtape check new mixtape
41,adf.ly / KlD3Y,1,adfly kldy
42,Shakira is very beautiful,0,shakira beautiful
43,Shakira,0,shakira
44,"  Haha , Miley Cyrus has done it once again  Today someone leeched a porno video with her on a celeb site   I believe the website link is : miley-celeb-news.co.uk in case you want to view it.... ",1,haha miley cyrus done today someone leeched porno video celeb site believe website link mileycelebnewscouk case want view
45,She is perfect! &lt,0,perfect lt
46,Shakira u are so wiredo,0,shakira u wiredo
47,CHECK OUT THE DUBSTEP VERSION,1,check dubstep version
48,"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1,hey music fan really appreciate take time read check music im year old boy dreaming successful musician music world lot cover piano cover dont money advertise simple thumb comment comment video subscription would step forward second life u wont regret thank u people give chance mean lot
49,Beautiful song beautiful girl it works,0,beautiful song beautiful girl work
50,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1,hey youtubers really appreciate took time read year old boy want successful musician music world dont money advertise channel could visit channel comment video subscribe would great second life thank u people gave chance l really appreciate
51,"I absolutely adore watching football plus I’ve started earning income with out risk from claiming bonus deals. It’s a weird technique where you put money on something with one bookmakers and put money against it on Betfair. You acquire the bonus as income . A lad named Jim Vanstone is selecting the wagers free on his website Vanstone Secrets (Google it!). I have generated about 600 quid so far. And it’s free. I assume the bookmakers pay him to get new men and women, but it succeeds.",1,absolutely adore watching football plus ’ started earning income risk claiming bonus deal ’ weird technique put money something one bookmaker put money betfair acquire bonus income lad named jim vanstone selecting wager free website vanstone secret google generated quid far ’ free assume bookmaker pay get new men woman succeeds
52,"Still amazing this song!! I did a French Kpop Parody. Please come on my Channel to watch it. Share, suscribe, comment Thanks",1,still amazing song french kpop parody please come channel watch share suscribe comment thanks
53,good!!,0,good
54,1 753 682 421 GANGNAM STYLE ^^,1,gangnam style
55,check out my new video,1,check new video
56,wow,0,wow
57,How did you know that people makes another account just for subscribing itself and liking??? :),1,know people make another account subscribing liking
58,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity give thumbs up i would  apprecitate it.,1,want make easy money check page tvcmcadavidweebly com dont miss opportunity give thumb would apprecitate
59,I love it,0,love
60,She is perfect,0,perfect
61,we are 14 year old boys we are trying to enter in the music industry Maybe we are just a dreamers but we are not the? only one. Please give us one chance to prove ourself to you. we know these things are annoying as hell we are sorry? about that. But we do anything to get music heard. Please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called: I Wanna Play A Game please take a look on our channel Thankss!!!,1,year old boy trying enter music industry maybe dreamer one please give u one chance prove ourself know thing annoying hell sorry anything get music heard please visit channel subscribe like thumb comment everyone see made song called wan na play game please take look channel thanks
62,I love this song because we sing it at Camp all the time!!,0,love song sing camp time
63,Waka waka,0,waka waka
64,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1,hello guysi found way make money online get paid mess around facebook twitter get paid upto houronly netjobscom work comfort home currently hiring people world wide range social medium job site facebooktwitter youtube dont need prior skill experience begin work immediately easily make monthly income…only netjobscom
65,SUBSCRIBE MY CHANNEL,1,subscribe channel
66, subscribe to my feed,1,subscribe feed
67,Waka Waka!:D   Check out my new HALLOWEEN VIDEO!:),1,waka wakad check new halloween video
68,"Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Thank You &amp; enjoy the music - wish You awesome day!",1,hi johnny already know music thumb found way want hear original song completely made person continue reading sing write original musiclyrics amp play guitar bass drum amp keyboard im manband music completely independent amp listenersupported want hear amp youre willing help record new album click namepicture thank amp enjoy music wish awesome day
69,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1,hello guysi found way make money online get paid mess around facebook twitter get paid upto houronly netjobscom work comfort home currently hiring people world wide range social medium job site facebooktwitter youtube dont need prior skill experience begin work immediately easily make monthly income…only netjobscom
70,CHECK OUT partyman318 FR GOOD TUNEZ!! :D,1,check partyman fr good tunez
71,ｈｔｔｐ://ｗｗｗ.ｅｂａｙ.ｃｏｍ/ｕｓｒ/ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,1,ｈｔｔｐｗｗｗｅｂａｙｃｏｍｕｓｒｓｈｏｅｃｏｌｌｅｃｔｏｒ
72,"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1,hey music fan really appreciate take time read check music im year old boy dreaming successful musician music world lot cover piano cover dont money advertise simple thumb comment comment video subscription would step forward second life u wont regret thank u people give chance mean lot
73,Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,1,northland paranormal society youtube check channel real paranormal evidence facebook northland paranormal society
74,"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",1,hello everyone name anderson im singer expecting buy subscriber word gain voice might best voice different good way ill work harder anyone get better cuz quotyeahquot dream huge one doesnt please take minute time check cover give chance wont regret feel like subscribing thatd awesome itd mean world thank much
75,"  Perhaps you have seen the newest Miley Cyrus SECRET video ?   She&#39;s sucking an old man&#39;s cock ,  If you wish to see her , check out the celebrity website beneath :   miley-secret-video.co.uk ",1,perhaps seen newest miley cyrus secret video shes sucking old man cock wish see check celebrity website beneath mileysecretvideocouk
76,adf.ly / KlD3Y,1,adfly kldy
77,Wow,0,wow
78,Please go in and see our Channel and subscribe :-). It would be Nice mate.,1,please go see channel subscribe would nice mate
79,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1,hey youtubers really appreciate took time read year old boy want successful musician music world dont money advertise channel could visit channel comment video subscribe would great second life thank u people gave chance l really appreciate
80,I love you,0,love
81,:),0,
82,wanna earn money online without investment.....just visit this link .....therglove.blogspot.in/2013/08/blog-post_10.html,1,wan na earn money online without investmentjust visit link thergloveblogspotinblogposthtml
83,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1,hello everyone know probably pas kind comment still reading thanks ’ money advertisement chance getting heard nothing come spam sorry video animator trying make video animation industry please give chance prove please visit channel subscribe like thumb comment everyone see thank
84,Please visit this Website: oldchat.tk,1,please visit website oldchattk
85,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1,hello everyone know probably pas kind comment still reading thanks ’ money advertisement chance getting heard nothing live small town come spam sorry ’ instrumental songwriter columbus mississippi please go channel check original music would highly appreciated thumb comment music heard thank adam whitney
86,"Hey Youtubers and All Music lover&#39;s, Guess most of you all skip these comments, but for you who is still reading this, thanks ! I dont have any money for advertisiments, no chance of getting heard, nothing. All that&#39;s left is spam, sorry. Im 17, Rapper/Singer from Estonia. Please listen my new cover on my account. You wont regret it. Give me just a chance, please. Take half a second of your life and thumb this comment up. It will maybe change my life, for real. Thank you Wafence ",1,hey youtubers music lover guess skip comment still reading thanks dont money advertisiments chance getting heard nothing thats left spam sorry im rappersinger estonia please listen new cover account wont regret give chance please take half second life thumb comment maybe change life real thank wafence
87,i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0,watched large amount view convinced girl hot
88,Shakira I love you,0,shakira love
89,Your a fucking bitch,0,fucking bitch
90,I love this song for two reasons: 1.it is about Africa 2.i was born in beautiful south Africa,0,love song two reason africa born beautiful south africa
91,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss.",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check meat discus successful memory peaceful unit arbitrate guide addition design worried loss
92,"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1,hey guy girl check comedy recipe hilarious tube video prank crank call
93,I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,1,never forget song life like comment hearing song like year
94,"PLEASE CHECK OUT THIS VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U :)",1,please check video called quotwe love mind master itquot thank u
95,Subscribe to my channel :)  &lt,1,subscribe channel lt
96,Shakira voice sound spanish but that is what make the music sound amazing ♥I LOVE IT,0,shakira voice sound spanish make music sound amazing ♥i love
97,God she is so hot,0,god hot
98,Love this song!!!,0,love song
99,i like and love so much people all friends..... I love Shakira ^^,0,like love much people friend love shakira
100,"Subscribe me, I will? subscribe you back!!!",1,subscribe subscribe back
101,Where are Shakifans?,0,shakifans
102,like!!!!!,0,like
103,Love itt and ppl check out my channel!!!,1,love itt ppl check channel
104,Shakira is the best dancer,0,shakira best dancer
105,"Part 5. Comforter of the afflicted, pray for us Help of Christians, pray for us Queen of Angels, pray for us Queen of Patriarchs, pray for us Queen of Prophets, pray for us Queen of Apostles, pray for us Queen of Martyrs, pray for us Queen of Confessors, pray for us Queen of Virgins, pray for us Queen of all Saints, pray for us Queen conceived without original sin, pray for us Queen of the most holy Rosary, pray for us Queen of the family, pray for us Queen of peace, pray for us ",1,part comforter afflicted pray u help christian pray u queen angel pray u queen patriarch pray u queen prophet pray u queen apostle pray u queen martyr pray u queen confessor pray u queen virgin pray u queen saint pray u queen conceived without original sin pray u queen holy rosary pray u queen family pray u queen peace pray u
106,"Hey, hit this shit up while yall can, they killed the versace remix. Just type in CGE &quot;Versace Freestyle (Get Money)&quot; Shot by Ja-Wan Gardner and help them reach 1 million views.",1,hey hit shit yall killed versace remix type cge quotversace freestyle get moneyquot shot jawan gardner help reach million view
107,she is sooooo beautiful!,0,sooooo beautiful
108,Ouf Ouf OUFFFFFFFFFFFFFFFFFF!!!!!!!! :),0,ouf ouf ouffffffffffffffffff
109,I love this song,0,love song
110,Wats Good Go Check Out My Music On Da Channel Ik Yall Got me,1,wats good go check music da channel ik yall got
111,hey you ! check out the channel of Alvar Lake !!,1,hey check channel alvar lake
112,shakira is the best!,0,shakira best
113,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1,hey music fan really appreciate take time read check music im year old boy dreaming successful musician music world lot cover piano cover dont money advertise simple thumb comment comment video subscription would step forward second life wont regret thank u people give chance
114,I like,0,like
115,Nice,0,nice
116,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1,stop wasting time get paid mess around facebook twitter get paid upto hour netjobscom work comfort home currently hiring people world wide range social medium job site facebooktwitter youtube dont need prior skill experience begin work immediately easily make monthly income…only netjobscom
117,so beutiful,0,beutiful
118,so beutiful,0,beutiful
119,awesome,0,awesome
120,best song eva,0,best song eva
121,Check Out Daneja Good Girl,1,check daneja good girl
122,adf.ly /KlD3Y,1,adfly kldy
123,Please check out and send to others Freedom and Justice are on the line!  Please Google:   Steven L. Reed Case Lands in Supreme Court---thanks!,1,please check send others freedom justice line please google steven l reed case land supreme courtthanks
124,Check out my covers please!,1,check cover please
125,Love this song !!!!!!,0,love song
126,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1,hey music fan really appreciate take time read check music im year old boy dreaming successful musician music world lot cover piano cover dont money advertise simple thumb comment comment video subscription would step forward second life wont regret thank u people give chance
127,Shakira :-*,0,shakira
128,Shakira :-*,0,shakira
129,I always have goose bumps at that part,0,always goose bump part
130,i can to make money,1,make money
131,She is perfect,0,perfect
132,Hi. Check out and share our songs.,1,hi check share song
133,Hi.Check out and share our songs.,1,hicheck share song
134,Waka waka she rules,0,waka waka rule
135,Please visit this Website: oldchat.tk,1,please visit website oldchattk
136,"Hey, I am doing the Forty Hour famine so I&#39;ll be giving up on food and social working for 40 hours. I&#39;m doing this to raise money for African people who can&#39;t experience the luxuries that we can. So can you donate to give them a chance?  Any amount would do :)  Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)",1,hey forty hour famine ill giving food social working hour im raise money african people cant experience luxury donate give chance amount would click link donate h p h f c u n h n l thanks
137,god she is so sexy! drives me crazy!,0,god sexy drive crazy
138,"Hey guys whats up? I found this app that lets you get free gift card vouchers like psn cards,X-box live cards and even amazon gift cards. For free! All you have to do is  simply just download the app from the app store. It is called juno wallet. All you have to do is just sign up for the app and then complete a few surveys or just download some other free apps and you get money like 10 cents. Also, if you type in the code IM2458444. You will also start off with $0.25 free!! ",1,hey guy whats found app let get free gift card voucher like psn cardsxbox live card even amazon gift card free simply download app app store called juno wallet sign app complete survey download free apps get money like cent also type code im also start free
139,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate.",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check fragile swim enlist person ice audit frequent son fantastic chance describes rate
140,"Hey, have you tried &quot;DribblePROshot&quot; yet? Just do a search on Google. On their website you will find a useful free video demonstrating the right way to enormously improve your soccer or football skills in no time... It transformed Fausto into a substantially better football/soccer player...to the amazement of his team mates. Hopefully it works for you too.",1,hey tried quotdribbleproshotquot yet search google website find useful free video demonstrating right way enormously improve soccer football skill time transformed fausto substantially better footballsoccer playerto amazement team mate hopefully work
141,I want new song,0,want new song
142,"Subscribe me, I will? subscribe you back!!!",1,subscribe subscribe back
143,Hi. Check out and share our songs.,1,hi check share song
144,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1,hey music fan really appreciate take time read check music im year old boy dreaming successful musician music world lot cover piano cover dont money advertise simple thumb comment comment video subscription would step forward second life wont regret thank u people give chance
145,"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!",1,echa un vistazo la remezcla check remix miley cyrus wrecking ball house edm remix miley cyrus wrecking ball vincent remix click enlace suscríbase click link subscribe
146,I really ask nicely to view my vids:) I subscribe back..,1,really ask nicely view vids subscribe back
147,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1,hello guysi found way make money online get paid mess around facebook twitter get paid upto houronly netjobscom work comfort home currently hiring people world wide range social medium job site facebooktwitter youtube dont need prior skill experience begin work immediately easily make monthly income…only netjobscom
148,CHECK OUT DANEJA GOOD GIRL,1,check daneja good girl
